event_id,state,district,highway_corridor,latitude,longitude,elevation_m,slope_deg,aspect,lithology_type,lithology_factor,fault_dist_km,river_dist_km,ndvi,soil_moisture_pct,rain_24h_mm,rain_72h_ari_mm,crack_detected,landslide_occurred,severity,failure_type,factor_of_safety
LS-2024-001,Sikkim,East Sikkim,NH-10 (Kalijhora - 29th Mile),26.9389,88.4680,480,44.5,Southeast,Phyllite Shale,0.92,1.8,0.15,0.48,88.5,142.0,265.0,1,1,SEVERE,Debris Flow / Mudflow,0.72
LS-2024-002,Nagaland,Kohima,NH-29 (Dzüdza Valley),25.6890,93.9920,1120,41.2,South,Disang Shale,0.95,2.4,0.30,0.52,91.0,128.5,230.0,1,1,SEVERE,Rotational Slump,0.68
LS-2024-003,Meghalaya,East Jaintia Hills,NH-6 (Sonapur Portal),25.1150,92.3680,640,38.8,Southwest,Sandstone Shale,0.85,3.1,0.45,0.61,84.0,110.0,215.0,1,1,HIGH,Rockfall / Slurry,0.81
LS-2024-004,Assam,Dima Hasao,NH-27 (Haflong Hill Link),25.1764,93.0175,780,36.5,East,Weathered Claystone,0.88,4.2,0.20,0.55,86.5,98.0,195.0,1,1,HIGH,Translational Slide,0.84
LS-2024-005,Mizoram,Aizawl,NH-54 (Hunthar Slope),23.7271,92.7176,920,42.0,West,Siltstone Sandstone,0.89,2.8,0.50,0.44,89.0,115.0,240.0,1,1,SEVERE,Deep-seated Slump,0.74
LS-2024-006,Arunachal Pradesh,Tawang,Bhalukpong-Tawang Road,27.5861,91.8594,2650,46.0,North,Gneiss Schist,0.78,1.2,0.60,0.38,82.0,88.0,175.0,0,1,HIGH,Rockfall Debris,0.86
LS-2024-007,Manipur,Senapati,NH-2 (Mao - Imphal),25.2600,94.0200,1240,39.5,South,Disang Shale,0.92,3.5,0.40,0.58,85.0,105.0,205.0,1,1,HIGH,Mudflow Slump,0.79
LS-2024-008,Sikkim,North Sikkim,Mangan - Chungthang Link,27.5020,88.5410,1450,48.2,Southwest,Quartzite Phyllite,0.90,0.8,0.10,0.42,94.0,165.0,310.0,1,1,CRITICAL,Catastrophic Rockslide,0.58
LS-2024-009,Meghalaya,East Khasi Hills,Shillong - Dawki Road,25.3200,91.8500,1200,35.0,South,Limestone Sandstone,0.75,4.8,0.70,0.65,72.0,65.0,130.0,0,0,MODERATE,None (Minor Creep),1.18
LS-2024-010,Assam,Kamrup,Guwahati Hill Outskirts,26.1445,91.7362,180,24.0,North,Alluvial Granite,0.35,8.5,1.20,0.70,55.0,42.0,78.0,0,0,LOW,Stable,1.65
LS-2024-011,Nagaland,Dimapur,Chumukedima Foothills,25.8200,93.7500,210,18.5,East,Alluvium Conglomerate,0.40,7.2,0.80,0.68,58.0,48.0,85.0,0,0,LOW,Stable,1.82
LS-2024-012,Sikkim,South Sikkim,Namchi - Jorethang Road,27.1650,88.3550,850,37.2,East,Mica Schist,0.82,2.9,0.35,0.56,79.0,82.0,158.0,0,0,MODERATE,Minor Sluff,1.08
LS-2024-013,Mizoram,Lunglei,World Bank Road,22.8800,92.7400,810,40.5,West,Shale Sandstone,0.87,3.6,0.55,0.49,87.0,122.0,228.0,1,1,SEVERE,Slope Sinking,0.76
LS-2024-014,Tripura,Dhalai,Ambassa Hill Bypass,23.9200,91.8500,320,28.0,South,Clayey Sandstone,0.68,5.5,0.45,0.62,68.0,58.0,112.0,0,0,LOW,Stable,1.42
LS-2024-015,Arunachal Pradesh,West Kameng,Bhalukpong Sessa Belt,27.1200,92.5400,950,45.8,Southwest,Phyllite Gneiss,0.91,1.5,0.25,0.46,92.0,155.0,280.0,1,1,SEVERE,Debris Avalanche,0.65
